GCN Name,Fermi Name,Enclosed Probability,TESS Sector,Trigger,Details,RA,Declination,Error Radius (arcmin),Localization Source,Alt. Local. Cam,Alt. Local. CCD,Alt. Local. Col,Alt. Local. Row,LC,Result
GRB 241211A,GRB241211100,0.00000,86,2024-12-11 02:21:04.336,<a href=yr24/GRB241211100.html>details</a>,266.66,-33.29,612.0,"Fermi, GBM              ",,,,,,
GRB 241209E,GRB241209769,0.00359,86,2024-12-09 18:24:26.994,<a href=yr24/GRB241209769.html>details</a>,53.12,7.62,589.2,"Fermi, GBM              ",,,,,,
GRB 241209D,GRB241209458,0.00000,86,2024-12-09 10:57:32.251,<a href=yr24/GRB241209458.html>details</a>,190.113,-2.8901,4.998,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 241209C,GRB241209308,0.00000,86,2024-12-09 07:20:43.521,<a href=yr24/GRB241209308.html>details</a>,115.99,-0.99,253.2,"Fermi, GBM              ",,,,,,
GRB 241209A,GRB241209233,0.00000,86,2024-12-09 05:33:32.096,<a href=yr24/GRB241209233.html>details</a>,155.376,6.316,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 241207B,GRB241207869,0.00000,86,2024-12-07 20:48:46.319,<a href=yr24/GRB241207869.html>details</a>,234.82,-14.33,480.59999999999997,"Fermi, GBM              ",,,,,,
GRB 241207A,GRB241207371,0.00445,86,2024-12-07 08:51:54.748,<a href=yr24/GRB241207371.html>details</a>,287.53,42.55,96.0,"Fermi, GBM              ",,,,,,
GRB 241206A,GRB241206505,0.00435,86,2024-12-06 12:04:36.881,<a href=yr24/GRB241206505.html>details</a>,215.51,55.99,309.0,"Fermi, GBM              ",,,,,,
GRB 241204A,GRB241204152,0.00000,86,2024-12-04 03:37:04.176,<a href=yr24/GRB241204152.html>details</a>,316.5,6.55,30.0,"Fermi, LAT              ",-1,-1,-1,-1,,
GRB 241201A,GRB241201622,0.00000,86,2024-12-01 14:53:47.377,<a href=yr24/GRB241201622.html>details</a>,179.85,3.18,156.0,"Fermi, GBM              ",,,,,,
GRB 241201B,GRB241201564,0.05948,86,2024-12-01 13:29:45.455,<a href=yr24/GRB241201564.html>details</a>,333.26,38.75,1210.8,"Fermi, GBM              ",,,,,,unexamined
GRB 241130A,GRB241130968,0.00000,86,2024-11-30 23:11:34.205,<a href=yr24/GRB241130968.html>details</a>,100.29,-26.38,60.0,"Fermi, GBM              ",,,,,,
GRB 241129A,GRB241129064,0.00000,86,2024-11-29 01:29:14.670,<a href=yr24/GRB241129064.html>details</a>,245.47,1.12,300.59999999999997,"Fermi, GBM              ",,,,,,
GRB 241120A,GRB241120246,0.00000,85,2024-11-20 05:51:44.525,<a href=yr24/GRB241120246.html>details</a>,194.291,52.1504,1.002,INTEGRAL                ,-1,-1,-1,-1,,
GRB 241119A,GRB241119350,0.00000,85,2024-11-19 08:21:06.549,<a href=yr24/GRB241119350.html>details</a>,248.16,-15.01,309.0,"Fermi, GBM              ",,,,,,
GRB 241118A,GRB241118615,0.02562,85,2024-11-18 14:44:01.860,<a href=yr24/GRB241118615.html>details</a>,324.1,25.85,1005.6000000000001,"Fermi, GBM              ",,,,,,unexamined
GRB 241117B,GRB241117845,0.00000,85,2024-11-17 20:14:40.303,<a href=yr24/GRB241117845.html>details</a>,323.49,23.54,100.19999999999999,"Fermi, GBM              ",,,,,,
GRB 241117A,GRB241117125,0.00000,85,2024-11-17 02:58:28.396,<a href=yr24/GRB241117125.html>details</a>,2.04,16.33,104.4,"Fermi, GBM              ",,,,,,
GRB 241115B,GRB241115755,0.91955,85,2024-11-15 18:05:10.029,<a href=yr24/GRB241115755.html>details</a>,31.75,44.97,553.8000000000001,"Fermi, GBM              ",,,,,,unexamined
GRB 241115A,GRB241115554,0.00000,85,2024-11-15 13:16:06.170,<a href=yr24/GRB241115554.html>details</a>,86.765,-0.662,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 241115C,GRB241115191,0.00038,85,2024-11-15 04:33:16.483,<a href=yr24/GRB241115191.html>details</a>,257.26,16.2,294.6,"Fermi, GBM              ",,,,,,
GRB 241114A,GRB241114960,0.00240,85,2024-11-14 22:59:42.888,<a href=yr24/GRB241114960.html>details</a>,3.11,-2.19,697.1999999999999,"Fermi, GBM              ",,,,,,
GRB 241112A,GRB241112076,0.00000,85,2024-11-12 01:47:21.992,<a href=yr24/GRB241112076.html>details</a>,154.73,-0.75,826.1999999999999,"Fermi, GBM              ",,,,,,
GRB 241105A,GRB241105671,0.00000,85,2024-11-05 16:03:53.200,<a href=yr24/GRB241105671.html>details</a>,66.2381,-49.7547,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 241104A,GRB241104771,1.00000,85,2024-11-04 18:27:56.735,<a href=yr24/GRB241104771.html>details</a>,32.574,31.555,3.0,"Swift, XRT              ",1,3,1334.0897256716094,1752.8623710965733,,unexamined
GRB 241030B,GRB241030774,1.00000,85,2024-10-30 18:32:04.197,<a href=yr24/GRB241030774.html>details</a>,50.7921,34.446,0.06,"Swift, BAT              ",1,4,1831.7953152316732,1403.1767616498298,,unexamined
GRB 241030A,GRB241030242,1.00000,85,2024-10-30 05:45:47.645,<a href=yr24/GRB241030242.html>details</a>,343.033,80.439,3.0,"Swift, BAT              ",3,3,780.7105694573778,1927.983362841317,,unexamined
GRB 241029A,GRB241029097,0.00000,85,2024-10-29 02:17:47.608,<a href=yr24/GRB241029097.html>details</a>,325.327,5.086,2.46,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 241026A,GRB241026946,0.00000,85,2024-10-26 22:40:14.450,<a href=yr24/GRB241026946.html>details</a>,293.423,57.98,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 241025C,GRB241025650,0.00004,84,2024-10-25 15:33:56.509,<a href=yr24/GRB241025650.html>details</a>,152.56,48.27,137.4,"Fermi, GBM              ",,,,,,
GRB 241025B,GRB241025546,0.00000,84,2024-10-25 13:04:21.946,<a href=yr24/GRB241025546.html>details</a>,254.69,9.07,151.79999999999998,"Fermi, GBM              ",,,,,,
GRB 241025A,GRB241025067,0.00000,84,2024-10-25 01:34:13.000,<a href=yr24/GRB241025067.html>details</a>,333.33,83.566,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 241024B,GRB241024647,0.00000,84,2024-10-24 15:29:01.281,<a href=yr24/GRB241024647.html>details</a>,162.8,-1.98,888.6,"Fermi, GBM              ",,,,,,
GRB 241024A,GRB241024337,0.00000,84,2024-10-24 08:03:32.880,<a href=yr24/GRB241024337.html>details</a>,117.27,-27.61,139.2,"Fermi, GBM              ",,,,,,
GRB 241016C,GRB241016680,0.00044,84,2024-10-16 16:17:33.346,<a href=yr24/GRB241016680.html>details</a>,108.68,-40.82,894.0,"Fermi, GBM              ",,,,,,
GRB 241016B,GRB241016467,0.09471,84,2024-10-16 11:10:26.400,<a href=yr24/GRB241016467.html>details</a>,8.76,3.14,1308.6,"Fermi, GBM              ",,,,,,unexamined
GRB 241016A,GRB241016073,0.00002,84,2024-10-16 01:43:17.703,<a href=yr24/GRB241016073.html>details</a>,70.61,12.12,879.6,"Fermi, GBM              ",,,,,,
GRB 241013B,GRB241013936,0.00000,84,2024-10-13 22:25:28.272,<a href=yr24/GRB241013936.html>details</a>,148.37,-32.34,148.20000000000002,"Fermi, GBM              ",,,,,,
GRB 241013A,GRB241013041,0.00000,84,2024-10-13 00:56:17.139,<a href=yr24/GRB241013041.html>details</a>,275.276,-15.6302,2.52,INTEGRAL                ,-1,-1,-1,-1,,
GRB 241010B,GRB241010743,0.00136,84,2024-10-10 17:47:39.766,<a href=yr24/GRB241010743.html>details</a>,313.06,13.82,442.2,"Fermi, GBM              ",,,,,,
GRB 241008A,GRB241008917,0.00000,84,2024-10-08 21:57:52.250,<a href=yr24/GRB241008917.html>details</a>,112.87,-14.48,60.0,"Fermi, GBM              ",,,,,,
GRB 241002B,GRB241002260,0.00000,84,2024-10-02 06:12:04.616,<a href=yr24/GRB241002260.html>details</a>,333.77,-64.3,222.0,"Fermi, GBM              ",,,,,,
GRB 240930B,GRB240930721,1.00000,83,2024-09-30 17:15:49.507,<a href=yr24/GRB240930721.html>details</a>,319.933,41.3002,0.168,"Swift, XRT              ",2,2,1213.2178829329682,331.6845624734276,,unexamined
GRB 240929A,GRB240929826,0.00105,83,2024-09-29 19:47:46.108,<a href=yr24/GRB240929826.html>details</a>,356.15,75.01,82.8,"Fermi, GBM              ",,,,,,
GRB 240918A,GRB240918872,0.00000,83,2024-09-18 20:52:52.918,<a href=yr24/GRB240918872.html>details</a>,221.57,17.0,624.6,"Fermi, GBM              ",,,,,,
GRB 240916B,GRB240916609,0.00015,83,2024-09-16 14:34:31.619,<a href=yr24/GRB240916609.html>details</a>,56.47,8.97,1056.6,"Fermi, GBM              ",,,,,,
GRB 240916A,GRB240916058,0.00000,83,2024-09-16 01:20:43.162,<a href=yr24/GRB240916058.html>details</a>,235.914,-7.765,0.054,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 240914B,GRB240914298,0.00000,83,2024-09-14 07:07:30.095,<a href=yr24/GRB240914298.html>details</a>,293.61,29.25,141.6,"Fermi, GBM              ",,,,,,
GRB 240913B,GRB240913836,0.00000,83,2024-09-13 20:01:25.898,<a href=yr24/GRB240913836.html>details</a>,89.31,-14.28,721.8,"Fermi, GBM              ",,,,,,
GRB 240913C,GRB240913488,0.00936,83,2024-09-13 11:40:17.748,<a href=yr24/GRB240913488.html>details</a>,14.58,12.31,229.2,"Fermi, GBM              ",,,,,,unexamined
GRB 240913A,GRB240913140,0.00000,83,2024-09-13 03:19:23.465,<a href=yr24/GRB240913140.html>details</a>,68.7,13.83,358.2,"Fermi, GBM              ",,,,,,
GRB 240912A,GRB240912074,0.00000,83,2024-09-12 01:44:24.401,<a href=yr24/GRB240912074.html>details</a>,124.635,33.999,0.042,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 240910B,GRB240910488,0.00045,83,2024-09-10 11:40:18.487,<a href=yr24/GRB240910488.html>details</a>,171.34,29.24,448.8,"Fermi, GBM              ",,,,,,
GRB 240910A,GRB240910167,0.00000,83,2024-09-10 03:58:28.532,<a href=yr24/GRB240910167.html>details</a>,24.0972,-0.2047,0.066,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 240908A,GRB240908574,0.00187,83,2024-09-08 13:43:46.377,<a href=yr24/GRB240908574.html>details</a>,43.08,39.59,711.5999999999999,"Fermi, GBM              ",,,,,,
GRB 240905D,GRB240905443,0.00000,83,2024-09-05 10:35:13.900,<a href=yr24/GRB240905443.html>details</a>,215.15,-65.53,288.59999999999997,"Fermi, GBM              ",,,,,,
GRB 240905C,GRB240905357,0.00000,83,2024-09-05 08:31:55.681,<a href=yr24/GRB240905357.html>details</a>,173.38,-0.18,60.0,"Fermi, GBM              ",,,,,,
GRB 240905B,GRB240905186,0.00000,83,2024-09-05 04:25:03.690,<a href=yr24/GRB240905186.html>details</a>,268.0,14.2,12.0,"Fermi, LAT              ",-1,-1,-1,-1,,
GRB 240905A,GRB240905053,0.00000,83,2024-09-05 01:14:01.156,<a href=yr24/GRB240905053.html>details</a>,270.47,-24.71,367.2,"Fermi, GBM              ",,,,,,
GRB 240831B,GRB240831710,0.49248,82,2024-08-31 17:00:23.301,<a href=yr24/GRB240831710.html>details</a>,284.49,47.35,1005.0,"Fermi, GBM              ",,,,,,unexamined
,GRB240830177,0.04884,82,2024-08-30 04:12:55.166,<a href=yr24/GRB240830177.html>details</a>,157.1,82.41,809.4,"Fermi, GBM              ",,,,,,unexamined
GRB 240829B,GRB240829058,0.00571,82,2024-08-29 01:21:26.040,<a href=yr24/GRB240829058.html>details</a>,204.65,57.28,60.0,"Fermi, GBM              ",,,,,,unexamined
GRB 240828A,GRB240828622,0.00000,82,2024-08-28 14:52:51.852,<a href=yr24/GRB240828622.html>details</a>,225.513,36.5285,0.06,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 240825A,GRB240825662,0.00000,82,2024-08-25 15:50:45.491,<a href=yr24/GRB240825662.html>details</a>,344.569,1.0253,0.204,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 240824C,GRB240824640,0.00000,82,2024-08-24 15:20:01.800,<a href=yr24/GRB240824640.html>details</a>,152.58,-28.44,515.4,"Fermi, GBM              ",,,,,,
GRB 240824B,GRB240824549,0.00000,82,2024-08-24 13:09:03.321,<a href=yr24/GRB240824549.html>details</a>,17.835,2.62,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 240821A,GRB240821775,0.00000,82,2024-08-21 18:33:47.224,<a href=yr24/GRB240821775.html>details</a>,354.23,10.18,13.002,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 240821B,GRB240821721,0.28958,82,2024-08-21 17:15:25.138,<a href=yr24/GRB240821721.html>details</a>,228.98,77.4,196.79999999999998,"Fermi, GBM              ",,,,,,unexamined
GRB 240817A,GRB240817057,0.00000,82,2024-08-17 01:19:49.827,<a href=yr24/GRB240817057.html>details</a>,227.02,-45.81,465.59999999999997,"Fermi, GBM              ",,,,,,
GRB 240814C,GRB240814785,0.00000,82,2024-08-14 18:48:02.773,<a href=yr24/GRB240814785.html>details</a>,136.08,47.22,146.4,"Fermi, GBM              ",,,,,,
GRB 240814B,GRB240814483,0.00000,82,2024-08-14 11:32:43.478,<a href=yr24/GRB240814483.html>details</a>,38.09,51.21,240.0,"Fermi, GBM              ",,,,,,
GRB 240814A,GRB240814164,0.00000,82,2024-08-14 03:53:59.284,<a href=yr24/GRB240814164.html>details</a>,48.4,-4.6,128.4,"Fermi, GBM              ",,,,,,
GRB 240810A,GRB240810880,0.00000,82,2024-08-10 21:05:05.305,<a href=yr24/GRB240810880.html>details</a>,140.09,-41.4,187.20000000000002,"Fermi, GBM              ",,,,,,
GRB 240807B,GRB240807920,0.00006,81,2024-08-07 22:01:56.624,<a href=yr24/GRB240807920.html>details</a>,297.35,-42.71,469.20000000000005,"Fermi, GBM              ",,,,,,
GRB 240807A,GRB240807238,0.00000,81,2024-08-07 05:40:31.822,<a href=yr24/GRB240807238.html>details</a>,300.967,-68.7861,0.168,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 240805A,GRB240805085,0.00000,81,2024-08-05 02:00:05.651,<a href=yr24/GRB240805085.html>details</a>,190.915,-53.5953,2.1,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 240804A,GRB240804796,0.87086,81,2024-08-04 19:03:51.279,<a href=yr24/GRB240804796.html>details</a>,266.51,59.76,222.6,"Fermi, GBM              ",,,,,,unexamined
GRB 240801A,GRB240801138,0.00000,81,2024-08-01 03:15:52.521,<a href=yr24/GRB240801138.html>details</a>,25.39,25.15,150.6,"Fermi, GBM              ",,,,,,
GRB 240731A,GRB240731597,0.00000,81,2024-07-31 14:17:59.106,<a href=yr24/GRB240731597.html>details</a>,8.65,-46.27,393.0,"Fermi, GBM              ",,,,,,
GRB 240727A,GRB240727994,0.00000,81,2024-07-27 23:49:31.923,<a href=yr24/GRB240727994.html>details</a>,115.48,-33.01,362.4,"Fermi, GBM              ",,,,,,
GRB 240727B,GRB240727250,0.00000,81,2024-07-27 05:57:50.463,<a href=yr24/GRB240727250.html>details</a>,97.786,-37.18,3.96,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 240726A,GRB240726339,0.00068,81,2024-07-26 08:05:33.149,<a href=yr24/GRB240726339.html>details</a>,111.91,66.75,631.8,"Fermi, GBM              ",,,,,,
GRB 240720A,GRB240720017,0.00000,81,2024-07-20 00:22:38.222,<a href=yr24/GRB240720017.html>details</a>,96.7,30.342,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 240718A,GRB240718270,0.00000,81,2024-07-18 06:26:42.576,<a href=yr24/GRB240718270.html>details</a>,257.78,-25.11,13.8,"Fermi, LAT              ",-1,-1,-1,-1,,
GRB 240715A,GRB240715239,0.00000,81,2024-07-15 05:41:49.638,<a href=yr24/GRB240715239.html>details</a>,8.39,-29.42,178.20000000000002,"Fermi, GBM              ",,,,,,
GRB 240710A,GRB240710717,0.44861,80,2024-07-10 17:09:31.814,<a href=yr24/GRB240710717.html>details</a>,285.28,7.53,1145.4,"Fermi, GBM              ",,,,,,unexamined
,GRB240710643,0.00202,80,2024-07-10 15:23:23.055,<a href=yr24/GRB240710643.html>details</a>,240.8,-14.0,97.2,"Fermi, GBM              ",,,,,,
,GRB240704855,0.00012,80,2024-07-04 20:29:23.924,<a href=yr24/GRB240704855.html>details</a>,141.0,48.83,502.80000000000007,"Fermi, GBM              ",,,,,,
GRB 240702A,GRB240702885,0.00012,80,2024-07-02 21:12:36.425,<a href=yr24/GRB240702885.html>details</a>,341.98,14.18,248.39999999999998,"Fermi, GBM              ",,,,,,
GRB 240629A,GRB240629704,0.00048,80,2024-06-29 16:51:39.095,<a href=yr24/GRB240629704.html>details</a>,314.52,-38.83,133.8,"Fermi, GBM              ",,,,,,
,GRB240628817,0.00001,80,2024-06-28 19:34:19.473,<a href=yr24/GRB240628817.html>details</a>,198.67,-30.3,1063.1999999999998,"Fermi, GBM              ",,,,,,
,GRB240627839,0.00618,80,2024-06-27 20:05:57.841,<a href=yr24/GRB240627839.html>details</a>,215.25,48.52,137.4,"Fermi, GBM              ",,,,,,unexamined
GRB 240625B,GRB240625957,0.00000,80,2024-06-25 22:56:18.220,<a href=yr24/GRB240625957.html>details</a>,90.02,-11.12,618.0,"Fermi, GBM              ",,,,,,
GRB 240625A,GRB240625314,0.00000,80,2024-06-25 07:30:25.252,<a href=yr24/GRB240625314.html>details</a>,118.74,-4.94,565.8,"Fermi, GBM              ",,,,,,
GRB 240624B,GRB240624805,0.00256,80,2024-06-24 19:17:30.605,<a href=yr24/GRB240624805.html>details</a>,238.46,-6.39,263.4,"Fermi, GBM              ",,,,,,
GRB 240624A,GRB240624251,0.00000,80,2024-06-24 05:58:53.129,<a href=yr24/GRB240624251.html>details</a>,102.444,-6.543,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 240619B,GRB240619466,0.00000,80,2024-06-19 11:08:30.145,<a href=yr24/GRB240619466.html>details</a>,116.03,18.43,1255.2,"Fermi, GBM              ",,,,,,
GRB 240619A,GRB240619155,0.00000,80,2024-06-19 03:41:16.120,<a href=yr24/GRB240619155.html>details</a>,162.09,17.27,96.60000000000001,"Fermi, GBM              ",,,,,,
,GRB240617599,0.00899,79,2024-06-17 14:20:26.103,<a href=yr24/GRB240617599.html>details</a>,333.55,0.88,1212.6000000000001,"Fermi, GBM              ",,,,,,unexamined
,GRB240616382,0.00196,79,2024-06-16 09:07:21.119,<a href=yr24/GRB240616382.html>details</a>,242.98,2.35,343.2,"Fermi, GBM              ",,,,,,
GRB 240616A,GRB240616234,0.00404,79,2024-06-16 05:34:28.154,<a href=yr24/GRB240616234.html>details</a>,149.42,20.96,527.4,"Fermi, GBM              ",,,,,,
GRB 240615A,GRB240615744,0.00000,79,2024-06-15 17:49:30.618,<a href=yr24/GRB240615744.html>details</a>,326.141,38.5948,4.0200000000000005,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 240613A,GRB240613991,0.00000,79,2024-06-13 23:44:19.820,<a href=yr24/GRB240613991.html>details</a>,262.18,-66.14,496.79999999999995,"Fermi, GBM              ",,,,,,
GRB 240612B,GRB240612511,0.00000,79,2024-06-12 12:14:03.200,<a href=yr24/GRB240612511.html>details</a>,328.76,11.47,347.4,"Fermi, GBM              ",,,,,,
GRB 240612A,GRB240612503,0.00000,79,2024-06-12 12:02:10.482,<a href=yr24/GRB240612503.html>details</a>,316.39,5.43,152.4,"Fermi, GBM              ",,,,,,
GRB 240611A,GRB240611444,0.74873,79,2024-06-11 10:36:43.802,<a href=yr24/GRB240611444.html>details</a>,267.86,75.94,499.20000000000005,"Fermi, GBM              ",,,,,,unexamined
GRB 240610A,GRB240610002,0.00000,79,2024-06-10 00:01:01.529,<a href=yr24/GRB240610002.html>details</a>,294.42,9.19,194.4,"Fermi, GBM              ",,,,,,
GRB 240608A,GRB240608126,0.00000,79,2024-06-08 02:58:53.313,<a href=yr24/GRB240608126.html>details</a>,144.81,38.6,72.6,"Fermi, GBM              ",,,,,,
,GRB240608104,0.00002,79,2024-06-08 02:27:07.075,<a href=yr24/GRB240608104.html>details</a>,331.47,18.72,185.39999999999998,"Fermi, GBM              ",,,,,,
GRB 240607A,GRB240607459,0.00000,79,2024-06-07 10:58:56.580,<a href=yr24/GRB240607459.html>details</a>,17.81,-32.08,60.0,"Fermi, GBM              ",,,,,,
GRB 240606B,GRB240606565,0.00000,79,2024-06-06 13:30:52.196,<a href=yr24/GRB240606565.html>details</a>,40.234,-60.637,4.2,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 240605B,GRB240605338,0.00088,79,2024-06-05 08:04:47.260,<a href=yr24/GRB240605338.html>details</a>,68.23,34.46,1084.8,"Fermi, GBM              ",,,,,,
GRB 240605A,GRB240605171,0.00000,79,2024-06-05 04:04:00.016,<a href=yr24/GRB240605171.html>details</a>,90.41,-41.63,824.4,"Fermi, GBM              ",,,,,,
GRB 240604A,GRB240604936,0.03364,79,2024-06-04 22:26:16.151,<a href=yr24/GRB240604936.html>details</a>,127.88,74.38,124.19999999999999,"Fermi, GBM              ",,,,,,unexamined
,GRB240604594,0.00007,79,2024-06-04 14:13:46.804,<a href=yr24/GRB240604594.html>details</a>,172.22,-13.44,838.8000000000001,"Fermi, GBM              ",,,,,,
,GRB240604587,0.00000,79,2024-06-04 14:03:32.393,<a href=yr24/GRB240604587.html>details</a>,165.24,25.81,853.2,"Fermi, GBM              ",,,,,,
GRB 240603C,GRB240603423,0.00000,79,2024-06-03 10:06:59.248,<a href=yr24/GRB240603423.html>details</a>,272.58,-35.78,171.0,"Fermi, GBM              ",,,,,,
GRB 240603A,GRB240603102,0.00000,79,2024-06-03 02:25:21.291,<a href=yr24/GRB240603102.html>details</a>,324.16,-18.92,183.6,"Fermi, GBM              ",,,,,,
GRB 240602A,GRB240602419,0.00000,79,2024-06-02 10:00:55.152,<a href=yr24/GRB240602419.html>details</a>,196.99,-27.64,220.8,"Fermi, GBM              ",,,,,,
,GRB240528121,0.00086,79,2024-05-28 02:51:52.360,<a href=yr24/GRB240528121.html>details</a>,83.55,37.77,379.20000000000005,"Fermi, GBM              ",,,,,,
GRB 240527B,GRB240527586,0.00000,79,2024-05-27 14:01:33.006,<a href=yr24/GRB240527586.html>details</a>,128.1,-14.48,11.4,"Fermi, LAT              ",-1,-1,-1,-1,,
GRB 240527A,GRB240527297,0.00000,79,2024-05-27 07:05:11.842,<a href=yr24/GRB240527297.html>details</a>,307.57,-15.43,617.4,"Fermi, GBM              ",,,,,,
,GRB240525697,0.00000,79,2024-05-25 16:41:27.013,<a href=yr24/GRB240525697.html>details</a>,203.7,-13.23,599.4,"Fermi, GBM              ",,,,,,
,GRB240525491,0.39027,79,2024-05-25 11:45:24.095,<a href=yr24/GRB240525491.html>details</a>,280.37,44.54,497.4,"Fermi, GBM              ",,,,,,unexamined
,GRB240523401,0.00000,79,2024-05-23 09:35:56.952,<a href=yr24/GRB240523401.html>details</a>,316.77,-20.31,791.4,"Fermi, GBM              ",,,,,,
GRB 240521B,GRB240521631,0.00000,79,2024-05-21 15:06:45.984,<a href=yr24/GRB240521631.html>details</a>,355.688,-33.7215,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 240519A,GRB240519213,0.00000,78,2024-05-19 05:04:44.872,<a href=yr24/GRB240519213.html>details</a>,293.91,-69.35,88.2,"Fermi, GBM              ",,,,,,
GRB 240517A,GRB240517612,0.00000,78,2024-05-17 14:39:37.516,<a href=yr24/GRB240517612.html>details</a>,249.93,-58.31,1172.3999999999999,"Fermi, GBM              ",,,,,,
GRB 240516A,GRB240516150,0.00000,78,2024-05-16 03:34:13.764,<a href=yr24/GRB240516150.html>details</a>,212.807,-63.4878,1.02,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 240514C,GRB240514431,0.00000,78,2024-05-14 10:17:43.561,<a href=yr24/GRB240514431.html>details</a>,164.84,24.13,280.2,"Fermi, GBM              ",,,,,,
GRB 240514B,GRB240514169,0.01998,78,2024-05-14 04:01:26.493,<a href=yr24/GRB240514169.html>details</a>,5.07,44.52,239.4,"Fermi, GBM              ",,,,,,unexamined
GRB 240513B,GRB240513682,0.05009,78,2024-05-13 16:19:24.463,<a href=yr24/GRB240513682.html>details</a>,2.5,33.84,756.0,"Fermi, GBM              ",,,,,,unexamined
GRB 240513A,GRB240513307,0.00000,78,2024-05-13 07:19:45.172,<a href=yr24/GRB240513307.html>details</a>,163.4,-27.5,24.0,"Fermi, LAT              ",-1,-1,-1,-1,,
GRB 240511A,GRB240511754,0.00000,78,2024-05-11 18:04:03.045,<a href=yr24/GRB240511754.html>details</a>,336.676,8.5132,0.03,"Swift, XRT              ",-1,-1,-1,-1,,
,GRB240509721,0.45765,78,2024-05-09 17:15:37.979,<a href=yr24/GRB240509721.html>details</a>,240.17,18.1,943.2,"Fermi, GBM              ",,,,,,unexamined
,GRB240507006,0.00004,78,2024-05-07 00:06:20.773,<a href=yr24/GRB240507006.html>details</a>,185.03,-21.94,504.0,"Fermi, GBM              ",,,,,,
GRB 240504A,GRB240504217,0.00000,78,2024-05-04 05:10:35.035,<a href=yr24/GRB240504217.html>details</a>,65.88,-5.95,200.39999999999998,"Fermi, GBM              ",,,,,,
GRB 240502C,GRB240502906,0.01307,78,2024-05-02 21:42:57.770,<a href=yr24/GRB240502906.html>details</a>,166.88,66.3,491.4,"Fermi, GBM              ",,,,,,unexamined
GRB 240502B,GRB240502600,0.00142,78,2024-05-02 14:21:27.059,<a href=yr24/GRB240502600.html>details</a>,309.12,28.56,321.0,"Fermi, GBM              ",,,,,,
GRB 240502A,GRB240502228,0.00000,78,2024-05-02 05:26:26.714,<a href=yr24/GRB240502228.html>details</a>,113.629,16.7244,1.98,INTEGRAL                ,-1,-1,-1,-1,,
GRB 240501A,GRB240501455,0.09289,78,2024-05-01 10:52:16.744,<a href=yr24/GRB240501455.html>details</a>,257.21,26.54,151.79999999999998,"Fermi, GBM              ",,,,,,unexamined
GRB 240430A,GRB240430806,0.00083,78,2024-04-30 19:19:02.244,<a href=yr24/GRB240430806.html>details</a>,201.02,1.54,153.0,"Fermi, GBM              ",,,,,,
GRB 240429A,GRB240429628,0.00000,78,2024-04-29 15:02:15.932,<a href=yr24/GRB240429628.html>details</a>,13.69,18.49,532.1999999999999,"Fermi, GBM              ",,,,,,
GRB 240428A,GRB240428627,0.00022,78,2024-04-28 15:00:43.253,<a href=yr24/GRB240428627.html>details</a>,178.17,20.42,316.8,"Fermi, GBM              ",,,,,,
GRB 240425A,GRB240425015,0.32853,78,2024-04-25 00:19:09.267,<a href=yr24/GRB240425015.html>details</a>,227.67,46.68,217.79999999999998,"Fermi, GBM              ",,,,,,unexamined
,GRB240422389,0.15233,77,2024-04-22 09:17:18.374,<a href=yr24/GRB240422389.html>details</a>,285.44,50.2,166.2,"Fermi, GBM              ",,,,,,unexamined
GRB 240422A,GRB240422112,0.00000,77,2024-04-22 02:39:37.546,<a href=yr24/GRB240422112.html>details</a>,255.61,-67.43,591.5999999999999,"Fermi, GBM              ",,,,,,
GRB 240421B,GRB240421405,0.00000,77,2024-04-21 09:40:26.743,<a href=yr24/GRB240421405.html>details</a>,299.686,-14.879,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 240421A,GRB240421224,0.00000,77,2024-04-21 05:19:48.827,<a href=yr24/GRB240421224.html>details</a>,291.83,-77.36,501.0,"Fermi, LAT              ",,,,,,
,GRB240420190,0.00000,77,2024-04-20 04:31:28.354,<a href=yr24/GRB240420190.html>details</a>,256.09,-27.02,339.6,"Fermi, GBM              ",,,,,,
